chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
11	NC_000011.10	TRIM49	57093	CCDS8287.1	Public	-	89798129	89804468	[89798129-89798628, 89799715-89799812, 89800965-89800987, 89801701-89801931, 89803697-89803792, 89804058-89804468]	Identical	CCDS8287.1_CHR11	1359	0	0	1356-	456	12	1	14	11	6		8	3	2	15	7	3	9	2	8	8	6	10	11	15	13	3	1		15	9	7	6	5		9	1	4	3	1	7	16	7	10	10	9	1	5	13	9	5	5	2	7	9	12	4	9	7		9	5	13	6	3	20	4	8	10	
1	NC_000001.11	OR6N1	128372	CCDS30905.1	Public	-	158765743	158766681	[158765743-158766681]	Identical	CCDS30905.1_CHR1	939	0	0	936-	316	6		3	7	5	3	5	7	1	10	4	2	2	6	3	14	4	11	5	7	1		1	2	13	2		6	11		6		3	9		2	2	10	14	17	3	1	9	4	6	7	4	6	3	4	9	3	5	1		9	5	1	2	3	6	7	5	6	
2	NC_000002.12	LOXL3	84695	CCDS1953.1	Public	-	74533605	74552633	[74533605-74533678, 74533881-74533992, 74534099-74534235, 74534315-74534430, 74534530-74534773, 74535291-74535453, 74535587-74535754, 74535995-74536149, 74536290-74536470, 74536708-74536927, 74549368-74549582, 74550184-74550347, 74552321-74552633]	Identical	CCDS1953.1_CHR2	2262	0	0	2259-	757	17	4	5	21	29	13	19	9	7	17	3	12	23	34	10	19	8	7	15	9	6	10		6	34	2	10	16	4	1	15	1	3	28	4	4	13	26	15	13	14	4	14	5	3	12	4	5	15	11	22	3	20			6	8	12	15	3	37	12	14	23	
14	NC_000014.9	BEGAIN	57596	CCDS91931.1	Public	-	100537968	100545049	[100537968-100539314, 100540495-100540578, 100543857-100543964, 100544999-100545049]	Identical	CCDS91931.1_CHR14	1590	0	0	1587-	533	1	2	1	10	13	14	7	1	3	19		11	2	22	2	5	2	2	13	8	1	1	1	4	30			3	2		2	17	1	45	5	3	4	13	14	14	4	12	16	2		21	6	4	2	6	21	2	28			3	4	3	2		38	18	32	8	
22	NC_000022.11	SEPTIN3	55964	CCDS14026.2	Public	+	41977064	41996966	[41977064-41977073, 41981644-41981835, 41985983-41986111, 41987205-41987286, 41987621-41987758, 41989566-41989683, 41991572-41991667, 41992663-41992762, 41994289-41994340, 41994620-41994713, 41996901-41996966]	Identical	CCDS14026.2_CHR22	1077	0	0	1074-	362	1	1	7	4	3	4	12	3	2	24	1	2	3	12	6	22	5	3	10	11	9	3	1	4	11		4	10	2		5	1	3	6		2	11	12	8	10	8	1	5	5	5	9	6	2	4	8	6		12			1	1	1	2	1	25	7	5	7	
7	NC_000007.14	ZC3HC1	51530	CCDS75659.1	Public	-	130018663	130051365	[130018663-130018731, 130022318-130022524, 130024262-130024505, 130026157-130026311, 130028901-130029028, 130039463-130039546, 130040950-130041100, 130049032-130049143, 130051220-130051365]	Identical	CCDS75659.1_CHR7	1296	0	0	1293-	435	14	1	4	5	6	2		9	3	9	3	4	10	10	4	7	8	4	5	10	13	6	1	2	10	4	9	4	10		5	2	4	11	2	14	19	8	8	10	7	7	13	12	8	6	14	7	11	5	13	3	14	3		2	6	2	5	3	15		11	5	
3	NC_000003.12	RYK	6259	CCDS77820.1	Public	-	134158152	134250653	[134158152-134158263, 134159236-134159372, 134175608-134175767, 134175929-134176038, 134177940-134178072, 134183001-134183070, 134188836-134188922, 134191848-134191973, 134195081-134195181, 134202729-134202873, 134207471-134207524, 134209694-134209828, 134211507-134211606, 134222417-134222538, 134250422-134250653]	Identical	CCDS77820.1_CHR3	1824	0	0	1821-	611	10	4	16	5	12	3	9	7	4	11	12	7	6	6	4	5	15	15	6	18	19	4	1	4	28	8	7	7	11		11	10	11	21	1	8	20	14	7	8	7	6	8	13	15	12	8	3	15	8	17	4	16	9		8	12	7	15	13	14	9	7	7	
10	NC_000010.11	ZNF248	57209	CCDS7194.1	Public	-	37831614	37856309	[37831614-37833115, 37837616-37837711, 37837984-37838110, 37856295-37856309]	Identical	CCDS7194.1_CHR10	1740	0	0	1737-	583	25	1	25	7	14		9	19	1	25	6	1	6	4	17	6	11	14	9	5	34	1	1		5	16	10	2	4		8	3	2	3	1	6	32	11	16	10	6		6	12	7	5	6	13	11	7	19	2	9	7		21	4	16	10	7	20	3	6	13	
3	NC_000003.12	LHFPL4	375323	CCDS33691.1	Public	-	9502210	9552678	[9502210-9502310, 9505966-9506202, 9552273-9552678]	Identical	CCDS33691.1_CHR3	744	0	0	741-	251	2			10	5	2	6	2	1	7		6	6	13	3	17			7	6	1		1	3	12		1	5	2		3	2		13	3	2		13	15	12	2	2	7	3	2	7		2	4		5		5				2			1	7	8	6	4	
1	NC_000001.11	TNFRSF8	943	CCDS59989.1	Public	+	12104443	12142530	[12104443-12104530, 12109565-12109655, 12110040-12110203, 12111897-12112013, 12115576-12115728, 12123283-12123376, 12123714-12123826, 12125950-12126051, 12126182-12126235, 12135587-12135612, 12138231-12138435, 12142286-12142530]	Identical	CCDS59989.1_CHR1	1452	0	0	1449-	487	13		2	13	13	5	7	5	3	17		4	2	11	2	8	1	3	20	9	3	4	1	11	19	3		12	4		10	9	2	20	2	8	9	18	6	6	7	7	19	1	3	25	16	4	8	8	15	1	11	1			8	2	5	1	29	7	16	5	
19	NC_000019.10	ISYNA1	51477	CCDS12379.1	Public	-	18434912	18437978	[18434912-18435116, 18435265-18435482, 18435562-18435675, 18435756-18435920, 18436031-18436246, 18436329-18436478, 18436683-18436876, 18436972-18437104, 18437598-18437759, 18437859-18437978]	Identical	CCDS12379.1_CHR19	1677	0	0	1674-	562	3	2	5	6	9	16	22	3	4	13	1	9	7	23	5	13	2	3	17	14	4	3	1	10	36		3	9	3		3	9	4	21	8	4	3	34	20	19	3	19	9	1	4	21	8	1	5	2	18	3	20			3	1	1	1	2	32	9	16	9	
4	NC_000004.12	NOCT	25819	CCDS3743.1	Public	+	139015981	139045473	[139015981-139016170, 139043073-139043342, 139044638-139045473]	Identical	CCDS3743.1_CHR4	1296	0	0	1293-	435	8		5	8	4	5	12	7	2	6	1	6	6	8	6	8	4	6	11	4	9	5		1	22	2	8	3	4	1	11	4	4	16	4	3	13	7	8	13	10	5	8	10	7	12	8	9	11	12	12	6	9	2		6	5	4	6	3	13	5	6	8	
19	NC_000019.10	CBARP	255057	CCDS92477.1	Public	-	1229178	1236099	[1229178-1230141, 1231100-1231274, 1233425-1233635, 1234190-1234330, 1234570-1234741, 1235000-1235144, 1235500-1235564, 1235778-1235917, 1235995-1236099]	Identical	CCDS92477.1_CHR19	2118	0	0	2115-	709	1	2	3	5	16	33	5	4	6	17		15	6	38	7	9	5	2	27	5	1	2		14	35	2	1	9	4	1	5	26	1	56	10	5	3	13	16	11	5	29	11	3	1	41	6	4	5	3	22	2	43			1	11	2	3	1	37	8	27	20	
5	NC_000005.10	GABRG2	2566	CCDS93813.1	Public	+	162067999	162153367	[162067999-162068105, 162093827-162093978, 162095494-162095561, 162097637-162097857, 162101234-162101316, 162102553-162102672, 162103888-162104025, 162142163-162142315, 162149107-162149312, 162153092-162153367]	Identical	CCDS93813.1_CHR5	1524	0	0	1521-	511	5	3	11	6	3	3	11	12	6	9	4	4	15	7	7	13	10	16	16	14	16	4	1	3	13	12	7	16	8		12		6	8	5	10	10	12	13	9	7	2	10	14	4	6	10	6	20	4	4	3	10	4		16	2	3	5	4	7	10	11	6	
10	NC_000010.11	PLEKHA1	59338	CCDS55730.1	Public	+	122393200	122428379	[122393200-122393340, 122397917-122397973, 122400342-122400387, 122406575-122406672, 122412919-122413044, 122415858-122416001, 122417899-122417967, 122424198-122424262, 122424895-122424958, 122426941-122427030, 122428275-122428379]	Identical	CCDS55730.1_CHR10	1005	0	0	1002-	338	7	3	10	1	2	2	9	4	6	10	6	3	4	5	5	2	6	11	2	9	14	2		2	4	8	7	2	1		5		6	4	1	11	18	9	6	1	10	3		6	5	3	5	7	11	6	12	6	6	1	1	6	5	3	6	8	3	7	5	2	
22	NC_000022.11	PANX2	56666	CCDS54544.1	Public	+	50170730	50179259	[50170730-50170955, 50176938-50178401, 50178933-50179134, 50179220-50179259]	Identical	CCDS54544.1_CHR22	1932	0	0	1929-	647	3			7	8	23	23	3	1	37		12	5	23	2	33		1	15	8	1	2	1	12	61		1	8			2	23		36	9		3	22	22	13	6	33	12	1	3	29	3	2	1	1	19	2	26				3				35	16	14	18	
19	NC_000019.10	SYNE4	163183	CCDS42553.1	Public	-	36003336	36008680	[36003336-36003519, 36003612-36003670, 36005332-36005436, 36006422-36006670, 36006749-36006943, 36007124-36007267, 36008216-36008366, 36008553-36008680]	Identical	CCDS42553.1_CHR19	1215	0	0	1212-	408	3	2	3	5	15	2	3	5	5	4	1	7	8	15	11	3	1	3	4	4	2	4	1	2	31	4	5	6	5		5	3	1	14	1	6	1	8	6	15	11	6	9	2	5	18	7	3	3	8	23	4	14	1		1	10	2	3	1	28	4	7	11	
11	NC_000011.10	DRD2	1813	CCDS8362.1	Public	-	113410726	113424650	[113410726-113410919, 113412555-113412882, 113415420-113415610, 113416862-113416998, 113418026-113418135, 113424366-113424650]	Identical	CCDS8362.1_CHR11	1245	0	0	1242-	418	3	1	5	7	3	8	15	4	2	15	1	5	7	4	1	25	4	7	16	13	6	3	1	3	24	2		20	1		6	3	2	18				10	17	17	1	3	13	1		15	6	1	4	7	9	1	11			3	2	2		1	14	14	17	11	
19	NC_000019.10	ZNF20	7568	CCDS45986.1	Public	-	12132586	12140181	[12132586-12133984, 12135499-12135559, 12135768-12135903, 12140179-12140181]	Identical	CCDS45986.1_CHR19	1599	0	0	1596-	536	35	4	11	3	5		4	6	6	23	3		2	5	21	2	21	14	7	7	32	4	1	4	3	12	12	2	3		5		2	11	1	7	31	6	14	3	4		10	12	9	10	5	8	12	14	10	1	4	1		20	3	21	12	5	17	3	3	17	
10	NC_000010.11	FUOM	282969	CCDS7680.1	Public	-	133355498	133358006	[133355498-133355504, 133355737-133355810, 133356639-133356737, 133356942-133357012, 133357186-133357254, 133357922-133358006]	Identical	CCDS7680.1_CHR10	405	0	0	402-	138	2	1		2	3	1	1		1	6	1	2	1	4	1	5			2	4			1	2	14	1		2	1		4	3	2	4			1	7	1	2		4	4	3	1	5	1			3	3	1	5			2	5		1		11	2	1	1	
11	NC_000011.10	ACAT1	38	CCDS8339.1	Public	+	108121606	108147389	[108121606-108121677, 108131906-108131953, 108133819-108133936, 108134220-108134315, 108135141-108135241, 108138897-108139040, 108140064-108140214, 108141604-108141699, 108142436-108142549, 108143982-108144046, 108146201-108146358, 108147269-108147389]	Identical	CCDS8339.1_CHR11	1284	0	0	1281-	431	4	1	16	1	6	3	3	12	10	11	4	2	2	5	18	2	5	20	3	17	19	1		1	13	5	6	3	8		18		14	12		8	21	11	1	3	5	2	3	6	7	4	10	3	12	4	7	4	3	2	1	8	19	5	7	14	3	3	7		
16	NC_000016.10	PABPN1L	390748	CCDS45547.2	Public	-	88863755	88866605	[88863755-88863794, 88864236-88864378, 88864852-88864939, 88865021-88865127, 88865562-88865629, 88865805-88865940, 88866351-88866605]	Identical	CCDS45547.2_CHR16	837	0	0	834-	282	3	1		2	14	3	5	1	2	9	1	5	5	12	4	4	1	1	6	3	3	2		3	13	3	3	5	1	1	2	4		15		4	4	9	8	6	5	1	6	3	1	8	8	3	3	2	13		8			2	3				30	3	6	6	
9	NC_000009.12	TXN	7295	CCDS59139.1	Public	-	110244156	110256434	[110244156-110244218, 110244777-110244842, 110251357-110251461, 110256411-110256434]	Identical	CCDS59139.1_CHR9	258	0	0	255-	89	2		2	2	1			1	2	8			1		2	2	1	1	1	3	3			1			1	2	1	1	3		2	4		1	6	2	3		2			5	2		1	2	2		3		2	1			1	1		2	2		1		
6	NC_000006.12	CEP85L	387119	CCDS55052.1	Public	-	118465404	118652780	[118465404-118465567, 118469071-118469302, 118470536-118470643, 118479870-118479920, 118480395-118480512, 118481778-118481932, 118483705-118483857, 118491685-118491864, 118511297-118511414, 118523801-118523919, 118565528-118566315, 118632452-118632610, 118652699-118652780]	Identical	CCDS55052.1_CHR6	2427	0	0	2424-	812	11	2	23	8	5	2	9	24	5	30	11	7	9	9	13	5	24	19	5	21	37	4	1		13	19	32		18		15	2	7	6		19	41	5	3	7	13		11	11	21	3	10	27	28	13	41	10	19	23		11	6	9	21	11	32	2	11	5	
4	NC_000004.12	ANK2	287	CCDS93589.1	Public	+	113049728	113381470	[113049728-113049811, 113151079-113151123, 113174415-113174516, 113196367-113196465, 113199010-113199108, 113232160-113232258, 113236986-113237171, 113237598-113237621, 113240484-113240582, 113242110-113242208, 113249763-113249861, 113255734-113255931, 113258049-113258147, 113258312-113258410, 113264896-113264994, 113274451-113274648, 113277836-113277934, 113278459-113278557, 113282674-113282871, 113287604-113287702, 113288387-113288485, 113292415-113292513, 113293439-113293537, 113302766-113302838, 113311254-113311398, 113317706-113317808, 113318516-113318619, 113330245-113330469, 113331971-113332069, 113333053-113333207, 113335845-113336056, 113336576-113336780, 113339225-113339321, 113341687-113341915, 113343016-113343141, 113345899-113346021, 113348275-113348307, 113350227-113350248, 113360822-113360896, 113363337-113363468, 113365038-113365181, 113367565-113367850, 113369513-113369804, 113373089-113373172, 113373284-113373448, 113381456-113381470]	Identical	CCDS93589.1_CHR4	5664	0	0	5661-	1891	12	7	45	14	25	12	39	45	24	59	14	9	6	30	43	33	43	41	40	39	50	19		9	67	22	26	27	23	1	52	5	31	58	2	29	80	56	23	28	37	7	19	24	34	21	29	21	60	21	61	18	37	19		18	40	32	25	20	70	19	27	41	
1	NC_000001.11	CELSR2	1952	CCDS796.1	Public	+	109250079	109274048	[109250079-109253388, 109258431-109259078, 109261041-109261263, 109261512-109261627, 109261807-109261895, 109262286-109262443, 109262805-109262968, 109263141-109263266, 109263610-109263776, 109264077-109264364, 109264453-109264627, 109264867-109265008, 109265190-109265310, 109265734-109265917, 109266104-109266205, 109267547-109267641, 109267850-109268059, 109268580-109268763, 109268879-109269007, 109269109-109269289, 109269423-109269590, 109269693-109269819, 109269932-109270132, 109270425-109270599, 109270926-109271038, 109271216-109271295, 109271385-109271511, 109271599-109271721, 109272277-109272404, 109272639-109272727, 109272832-109273026, 109273165-109273335, 109273435-109273669, 109274021-109274048]	Identical	CCDS796.1_CHR1	8772	0	0	8769-	2927	37	21	49	50	68	56	67	41	35	47	3	57	27	125	27	70	27	18	83	27	12	21		37	177	7	11	74	21	1	50	25	12	115	17	27	26	111	77	62	49	9	55	33	18	96	51	22	58	18	106	20	115	4		23	31	22	28	13	142	58	88	47	
16	NC_000016.10	SPG7	6687	CCDS10977.1	Public	+	89508417	89557092	[89508417-89508599, 89510489-89510591, 89512947-89513036, 89524005-89524246, 89526328-89526467, 89529476-89529578, 89530682-89530807, 89531903-89532065, 89532462-89532635, 89544647-89544771, 89546657-89546759, 89548002-89548112, 89550493-89550608, 89552978-89553134, 89553793-89553959, 89554485-89554562, 89556886-89557092]	Identical	CCDS10977.1_CHR16	2388	0	0	2385-	799	1	6	8	3	19	10	13	4	7	36	2	16	8	27	17	18	7	9	17	28	9	8		8	49	6	4	18	11		14	10	6	36	3	2	20	27	18	18	11	12	14	15	7	12	11	1	7	12	32	2	24	3	1	4	13	5	3	1	46	11	14	12	
19	NC_000019.10	CELF5	60680	CCDS54197.1	Public	+	3224739	3293333	[3224739-3224997, 3250984-3251066, 3273871-3273922, 3275855-3275983, 3278030-3278109, 3281198-3281344, 3282125-3282266, 3282426-3282497, 3284901-3284963, 3285941-3286024, 3290271-3290373, 3293318-3293333]	Identical	CCDS54197.1_CHR19	1230	0	0	1227-	413	4	1	1	1	10	5	2	6	4	10	1	11	1	13	7	11	2	1	8	10	5	1	1	8	18	1	5	8	3		6	8	3	22	4	1	3	15	14	14	7	7	8	2	4	20	4	1	2	2	32		14			3	1	3	3		15	10	14	9	
2	NC_000002.12	C2orf73	129852	CCDS46285.1	Public	+	54330975	54360561	[54330975-54331000, 54334816-54335023, 54343719-54343872, 54358958-54359073, 54360202-54360561]	Identical	CCDS46285.1_CHR2	864	0	0	861-	291	2	2	7	2	2		4	8	4	9	10		2	2	9	2	7	3	2	3	20				4	8	8	3	1	1	5	1	3	4	1	5	17		4	2	10	1	1	4	3	3	13	12	5	3	8	1	4	4		4	6	7	3	5	9	4	6	5	
5	NC_000005.10	NME5	8382	CCDS4197.1	Public	-	138115680	138138779	[138115680-138115763, 138118817-138118935, 138128478-138128578, 138129262-138129467, 138138651-138138779]	Identical	CCDS4197.1_CHR5	639	0	0	636-	216	3	1	7		1	1	3	4		4	6		3	1	6	2	2	11	1	7	10				5	5	4	1	2	1	7		3	3		2	9	2	2	2	7	2	1	5	7	3	9	1	5	2	2	3	5	6		7	3	5	4	3	8	1	2	1	
4	NC_000004.12	UGDH	7358	CCDS3455.1	Public	-	39500142	39521511	[39500142-39500252, 39503874-39503984, 39504416-39504507, 39505236-39505369, 39505617-39505747, 39508565-39508659, 39509759-39509906, 39510352-39510549, 39510660-39510860, 39514082-39514183, 39521350-39521511]	Identical	CCDS3455.1_CHR4	1485	0	0	1482-	498	10	3	15	2	6	3	8	11	7	18	9	5	5	5	12	10	8	22	5	8	18	1		1	11	9	6	4	6		15	1	12	7		9	22	12	4	4	8	2	7	15	7	3	12	5	22	5	9	6	8	1	1	13	14	6	7	10	11	2	5	2	
17	NC_000017.11	CAMTA2	23125	CCDS54072.1	Public	-	4968705	4986957	[4968705-4968818, 4968906-4968978, 4969149-4969336, 4969499-4969519, 4969629-4969700, 4969901-4970084, 4970339-4970535, 4972231-4972535, 4972768-4972990, 4973174-4973252, 4973584-4973768, 4974384-4974499, 4977057-4977191, 4978503-4978629, 4979683-4980620, 4981224-4981358, 4981677-4981830, 4982088-4982159, 4982756-4982891, 4982975-4983042, 4985879-4985982, 4986191-4986285, 4986953-4986957]	Identical	CCDS54072.1_CHR17	3726	0	0	3723-	1245	11	5	7	12	27	18	10	13	16	39	3	23	19	22	23	32	10	6	32	23	5	16		4	53	6	3	14	13	1	41	10	6	42	6	28	24	27	19	29	42	4	31	17	19	51	41	20	20	9	46	9	27	3		10	24	12	14	10	65	16	31	23	
16	NC_000016.10	RNF166	115992	CCDS54057.1	Public	-	88697567	88706324	[88697567-88697632, 88698501-88698608, 88698970-88699084, 88699619-88699686, 88706211-88706324]	Identical	CCDS54057.1_CHR16	471	0	0	468-	160	2			6	2	4	7	1	1	4		1	1	3		4		1	3	4		1	1		9			2			4	4		9	2	2	1	8	6	1	1	2	2	1	1	10		1		1	11		7				1		1		7	5	7	5	
10	NC_000010.11	LRRTM3	347731	CCDS7270.1	Public	+	66926583	67097795	[66926583-66926586, 66926920-66928451, 67097586-67097795]	Identical	CCDS7270.1_CHR10	1746	0	0	1743-	585	8		22	6	4	5	16	11	5	15	10	6	8	10	10	18	4	7	11	11	18	5		6	28	7	8	6	8	1	10	4	3	8	1	9	14	10	7	13	6	3	17	14	17	13	3	6	9	12	19	6	9	10		9	4	10	13	6	18	7	13	5	
11	NC_000011.10	SLC39A13	91252	CCDS81564.1	Public	+	47410094	47415121	[47410094-47410394, 47411925-47412038, 47412345-47412466, 47413399-47413506, 47413596-47413685, 47414424-47414474, 47414776-47414904, 47415059-47415121]	Identical	CCDS81564.1_CHR11	978	0	0	975-	329	5		2	4	15	3	5	3	5	8		6	7	13	5	9	3	2	8	7	2	1	1	2	30	1	2	5	4		11	3		21	1	1	4	6	9	17	7	6	6	3	3	8	1	3	1	3	11	2	6				2	3	1		11	2	14	2	
